t_s,dt_s,S_max,excess_max,r_max_m,z_deepest_m,seabed_footprint_m2,dilution_min,max_divergence
0.1,0.0660,36.2633,0.1069,0.000,0.000,0.00,270.062,1.49e-04
60.0,0.0660,37.6073,1.3598,0.000,0.000,0.00,21.144,1.43e-04
120.0,0.0660,38.8161,2.5686,205.701,24.750,111.11,11.194,1.35e-04
180.0,0.0660,38.1126,1.9701,0.000,0.000,0.00,14.648,1.28e-04
240.0,0.0660,38.5377,2.3802,105.973,17.250,111.11,12.118,1.69e-04
300.0,0.0660,39.0648,2.8773,121.278,20.250,277.78,10.014,2.06e-04
360.0,0.0660,38.9425,2.7550,205.701,24.750,222.22,10.458,2.37e-04
420.1,0.0660,38.2059,2.0484,105.973,15.750,55.56,14.080,2.80e-04
480.0,0.0660,38.4139,2.2229,243.270,26.250,166.67,12.968,3.59e-04
540.1,0.0660,38.6370,2.4645,96.683,17.250,166.67,11.697,4.16e-04
600.0,0.0660,38.7300,2.5125,109.097,21.750,333.33,11.456,3.57e-04
